gene,vqe_bitstring,exact_bitstring,hamming_distance,identical,vqe_time,exact_time,speedup_factor
ABL1,1010111110111001,1011101110111010,4,False,13.750324487686157,5.894450426101685,2.3327576777636896
SRC,1011111010100110,1011111001100110,2,False,12.873433351516724,5.763166427612305,2.233743119032261
HCK,0111110010101011,0101110011111111,4,False,12.963570356369019,5.313211679458618,2.439874625452514
FYN,1011101101010110,0111101100110110,4,False,11.885468006134033,5.310342311859131,2.23817360692384
LCK,1010111111101001,1111010100111010,9,False,14.368412256240845,8.180718183517456,1.7563754103142655
PTPN6,0111011011001011,1111011010111001,5,False,15.046969175338745,7.48311185836792,2.010790358360421
EGFR,0111000011101011,1011001111100010,6,False,12.531509637832642,5.301961183547974,2.3635611812319586
STAT3,1111011000111010,1111011000110101,4,False,14.631468296051025,7.350313901901245,1.990590945002556
CBS,1000111111111101,1111110101111010,8,False,17.24256706237793,9.710697412490845,1.77562602663315
BRAF,0011111010110011,1111111110001001,7,False,15.507283449172974,7.921790599822998,1.957547760669092
JAK1,1010011111110101,1010011101101101,3,False,14.121246576309204,6.790600299835205,2.0795284588686362
KIT,0111010011010111,1101110010101111,7,False,15.426145315170288,7.7873854637146,1.9809145684451561
FGFR1,1011010110011001,1010110110111101,4,False,10.927072763442993,3.8906948566436768,2.8085144597716605
AK1,0110010101110101,0110110111010001,4,False,12.357712984085083,6.2196946144104,1.9868681262024535
