gene,category,n_residues,n_common_residues,baseline_tm,tci,n_switch_contacts,n_bridge_confs,n_manifold_confs,A_v2_full_ens_max_tm_state2,A_v2_full_ens_min_rmsd_state2,A_v2_full_dual_state_covered,B_v3_full_ens_max_tm_state2,B_v3_full_ens_min_rmsd_state2,B_v3_full_dual_state_covered,E_v2plus_bridge_ens_max_tm_state2,E_v2plus_bridge_ens_min_rmsd_state2,E_v2plus_bridge_dual_state_covered
ABL1,autoinhibited,263,263,0.888145533018019,0.5723066091689017,17,22,7,0.8904568637737762,4.882146914984718,True,0.9933675289237127,0.4967356597459541,True,0.9933675289237127,0.4967356597459541,True
SRC,autoinhibited,449,449,0.19769202317403123,0.5521506841114249,15,33,11,0.21805006009795658,22.84112506173558,False,0.8500872159024582,3.2813798227677298,True,0.8500872159024582,3.2813798227677298,True
HCK,autoinhibited,437,258,0.16998534811558372,0.5672418255603874,16,33,11,0.1703424007281699,19.27233909345985,False,0.913223649008401,1.9013485360638909,True,0.913223649008401,1.9013485360638909,True
FYN,autoinhibited,262,120,0.1257155686508691,0.6115571323314586,18,34,11,0.16312056550695533,17.103211258307574,False,0.8291189598781092,1.8848858246841798,True,0.8291189598781092,1.8848858246841798,True
LCK,autoinhibited,288,267,0.21967520876355795,0.5684568965378822,17,33,11,0.24086076176056306,15.100754335041643,False,0.9666955544147833,1.127374507038391,True,0.9666955544147833,1.127374507038391,True
PTPN6,autoinhibited,504,504,0.19087604970515387,0.5335879783549562,15,33,11,0.38665489180765983,17.72713852760017,False,0.9524929429197243,1.8111889697838717,True,0.9524929429197243,1.8111889697838717,True
EGFR,autoinhibited,311,278,0.8592094041185209,0.5529811972663515,15,22,7,0.8614742014941175,3.901468333051703,True,0.9167990002975113,1.8976169345521823,True,0.9167990002975113,1.8976169345521823,True
PTK2,autoinhibited,611,266,0.7091546881988571,0.6354989770018024,20,25,8,0.7099622885874758,4.6881209970877,True,0.8777529076199928,2.32358652923829,True,0.8777529076199928,2.32358652923829,True
STAT3,autoinhibited,558,501,0.9888046954259733,0.5639953167924603,16,20,6,0.9890704916478539,0.8434242249090607,True,0.9890704916478539,0.8434242249090607,True,0.9890704916478539,0.8434242249090607,True
CBS,autoinhibited,498,486,0.36942673105834745,0.588992210317541,17,30,10,0.48063734899698213,11.329534052177523,False,0.940430014844231,2.057790159238728,True,0.940430014844231,2.057790159238728,True
