protein,gene,pdb_state1,pdb_state2,uniprot,category,af3_imfd_rmsd,status,n_residues_state1,n_residues_state2,n_common_residues,state1_vs_state2_rmsd,state1_vs_state2_tm,n_fd_residues,n_im_residues,ensemble_size,scoring_time_s,ens_min_rmsd_state1,ens_max_tm_state1,ens_min_rmsd_state2,ens_max_tm_state2,ens_max_gdt_state2,ens_median_rmsd_state2,top10_min_rmsd_state2,top10_max_tm_state2,qicess_composite,qicess_quantum_energy,qicess_qaoa_score,n_qubits,ensemble_diversity,state2_rmsd_improvement,state2_rmsd_improvement_pct,state1_covered_tm05,state2_covered_tm05,dual_state_covered_tm05,quantum_rank_corr_rho,quantum_rank_corr_p
Tyrosine-protein kinase ABL1,ABL1,2HYY,2F4J,P00519,autoinhibited,3.2,success,263,287,263,4.965369156386103,0.888145533018019,132,131,80,34.474353075027466,4.903338677081304e-15,1.0,4.882146914984718,0.8904568637737762,74.1444866920152,5.105898763015947,4.882146914984718,0.8903488501963981,0.539311515082491,-51.40584735959763,1.0,16,0.3427262454681158,0.08322224140138523,1.6760534570596977,True,True,True,-0.7912095639943741,2.4799674784806502e-18
Proto-oncogene tyrosine-protein kinase Src,SRC,2SRC,1Y57,P12931,autoinhibited,2.8,success,449,452,449,23.19810370063728,0.19769202317403123,261,60,50,26.793800592422485,1.2553676799338485e-14,1.0,22.84112506173558,0.21805006009795658,3.78619153674833,23.240178649776446,23.136263844597583,0.19820880668150687,0.5028738468916343,-23.220015881795142,1.0,16,2.4144783475837457,0.3569786389017011,1.5388268088994468,True,False,False,-0.3279231692677071,0.020082102437346587
Tyrosine-protein kinase HCK,HCK,1AD5,2HK5,P08631,autoinhibited,4.1,success,437,269,258,19.289812477223716,0.16998534811558372,250,58,50,26.57571244239807,5.377627972670656e-15,1.0,19.27233909345985,0.17014278673197097,3.5852713178294575,19.28981247722372,19.27233909345985,0.1700884969860445,0.5051189131529736,-20.012668876098008,1.0,16,3.3755932197620244,0.017473383763867645,0.09058348174456955,True,False,False,-0.011036012567790812,0.9393674695546275
Tyrosine-protein kinase Fyn,FYN,2DQ7,1A6U,P06241,autoinhibited,3.5,success,262,108,108,18.03880123371198,0.06705445989282198,115,58,80,30.626964330673218,5.629991046717476e-15,1.0,16.373727238483287,0.0978043433883315,4.861111111111111,18.08120245361775,17.55637905298587,0.08196763653389337,0.5408641677460396,-56.22331673952336,1.0,16,1.1820973338834677,1.665073995228692,9.230513567148261,True,False,False,0.22423816221284576,0.045540923037584044
Tyrosine-protein kinase Lck,LCK,3LCK,2PL0,P07948,autoinhibited,3.9,success,288,268,267,15.250190401472077,0.21967520876355795,144,144,80,35.7715220451355,7.819704140988138e-15,1.0,15.100754335041643,0.24086076176056306,7.02247191011236,15.274216687234158,15.100754335041643,0.22785761026646484,0.5484527641732986,-50.04606315672725,0.768112066763078,16,1.8074726795148086,0.14943606643043417,0.9798963979886398,True,False,False,-0.27140720876766405,0.01488224824559534
Tyrosine-protein phosphatase SHP-1,PTPN6,2B3O,3PS5,P29350,autoinhibited,6.7,success,504,529,504,23.33400233536586,0.19087604970515387,275,103,50,28.66413903236389,1.5542803325437697e-14,1.0,17.72713852760017,0.38665489180765983,11.160714285714285,23.32576694181085,17.72713852760017,0.38665489180765983,0.5382950912999633,-31.378763024766933,1.0,16,2.698058672230457,5.606863807765688,24.028727378961996,True,False,False,0.39563025210084035,0.0044577833280548184
Epidermal growth factor receptor,EGFR,2GS6,2GS7,P00533,autoinhibited,2.1,success,311,281,278,3.928432612343941,0.8592094041185209,284,26,80,30.4681715965271,1.1084722759939602e-14,1.0,3.901468333051703,0.8614742014941175,70.32374100719424,3.984113683469088,3.920502744908185,0.8603028064706024,0.5202676418107837,-63.719779023712256,1.0,16,1.9026020952481442,0.02696427929223777,0.6863877264309047,True,True,True,-0.6146507266760431,1.3204829527400059e-09
Focal adhesion kinase 1,PTK2,2J0J,2J0L,Q05397,autoinhibited,5.3,success,611,275,266,4.706495999917011,0.7091546881988571,266,340,50,31.95033359527588,1.1437078584407633e-14,1.0,4.6881209970877,0.709956774164042,43.515037593984964,4.706495999917012,4.6881209970877,0.7091546881988571,0.5042767260285345,-27.37274883268116,1.0,16,3.437443341187284,0.018375002829310816,0.39041789963562745,True,True,True,0.5227990139672066,9.823728950069978e-05
STAT3,STAT3,1BG1,3CWG,P40763,autoinhibited,4.5,success,558,501,501,0.8538433417008524,0.9888046954259733,123,178,50,31.16716170310974,1.7869611908429617e-14,1.0,0.8446332936023168,0.9890392909359597,93.9620758483034,0.9852861020289531,2.753420340254978,0.9059661260502312,0.44867831551226,-24.588672094666336,0.7776259273037602,16,7.332795339468206,0.00921004809853565,1.078657834373841,True,True,True,-0.18012742163068618,0.21066235508318795
Cystathionine beta-synthase,CBS,4L3V,4PCU,P35520,autoinhibited,7.8,success,498,486,486,14.447454851119673,0.36942673105834745,321,140,50,28.171410083770752,1.511121103979655e-14,1.0,12.554876766265757,0.43112686846174125,13.065843621399175,14.515144742973597,12.554876766265757,0.4078827648414709,0.5412068902842813,-20.171266100150277,1.0,16,2.562215845856967,1.8925780848539162,13.099733512627951,True,False,False,-0.12172869147659063,0.39972133107122926
WASP,WAS,1EJ5,1CEE,P42768,autoinhibited,5.1,success,107,59,59,15.14923269351729,0.05269521523625162,59,48,80,29.7504563331604,5.85028955363835e-14,1.0,15.10968619488374,0.05284069066957727,3.389830508474576,15.149232693517291,15.149232693517291,0.05269521523625159,0.5915906271203784,-60.309434759889086,1.0,16,4.707744452827727,0.03954649863355009,0.2610462155649174,True,False,False,-0.032630858251729664,0.7738501938894591
B-Raf kinase,BRAF,4MNE,4XV2,P15056,autoinhibited,3.7,success,289,247,247,13.15581171360081,0.3227399810819206,145,144,80,33.319053173065186,1.0604301914065853e-14,1.0,12.803079577139902,0.33446071582040254,13.562753036437247,13.17690118705291,13.123174069730181,0.3239799290817386,0.5726978069921916,-47.24580389618327,1.0,16,2.067723489246388,0.35273213646090795,2.6811886954587876,True,False,False,-0.4863771571620314,4.782181424850386e-06
Tyrosine-protein kinase JAK1,JAK1,3EYG,2B7A,P23458,autoinhibited,6.2,success,281,284,252,19.498425232257315,0.156932288102506,141,140,80,33.98643660545349,3.1100535329019778e-15,1.0,19.184074959118814,0.15974352657006471,3.571428571428571,19.503680107625257,19.412583948399952,0.15737632418129316,0.5374342048035134,-50.44519785895767,1.0,16,0.9453683804753805,0.3143502731385013,1.6121828783303709,True,False,False,-0.6218924804437006,7.420192837535544e-10
KIT receptor,KIT,1T46,1PKG,P10721,autoinhibited,2.5,success,297,290,286,5.470927405858188,0.8527414033023324,149,148,80,32.85233473777771,2.4559583492026422e-14,1.0,5.420956721815866,0.8572970398025876,66.87062937062937,5.53073939829879,5.444514693735314,0.8544573272161966,0.5361707706804184,-56.16389336491855,1.0,16,0.7216849392827224,0.04997068404232152,0.9133859825815575,True,True,True,-0.8170182841068917,2.446344198403885e-20
FGFR1,FGFR1,2FDB,3GQI,P11362,autoinhibited,2.3,success,149,304,149,18.193093023329947,0.09109123486486152,75,74,80,67.07856059074402,6.909403392895745e-15,1.0,16.415981440662566,0.1285617913431442,4.530201342281879,18.202238338123607,17.170951421646652,0.108514118383565,0.5350302723836622,-62.33605981912091,0.7162236924689991,16,2.923213391011118,1.7771115826673807,9.768056373858466,True,False,False,0.36125175808720117,0.0009940286756661614
Adenylate kinase 1,AK1,4AKE,1ANK,P00571,autoinhibited,3.8,success,214,214,214,7.116560833522565,0.5647823511451634,214,30,80,30.469359636306763,4.9658853131161615e-15,1.0,6.766109460283879,0.5844902039344312,34.81308411214953,7.194513491262083,7.0585094622492015,0.5573075601019122,0.5728337809395215,-72.4888486224861,1.0,16,3.5514314654483234,0.3504513732386867,4.924448500290832,True,True,True,-0.4851617440225036,5.090877278748708e-06
