gene,category,n_residues,baseline_tm,n_blind,n_oracle,n_oracle_bridge,BLIND_ens_max_tm_state2,BLIND_ens_min_rmsd_state2,BLIND_dual_state_covered,ORACLE_ens_max_tm_state2,ORACLE_ens_min_rmsd_state2,ORACLE_dual_state_covered
ABL1,autoinhibited,263,0.888145533018019,80,109,29,0.8904568637737762,4.882146914984718,True,0.9933675289237127,0.4967356597459541,True
SRC,autoinhibited,449,0.19769202317403123,80,124,44,0.21805006009795658,22.84112506173558,False,0.8500872159024582,3.2813798227677298,True
HCK,autoinhibited,437,0.16998534811558372,80,124,44,0.1703424007281699,19.27233909345985,False,0.913223649008401,1.9013485360638909,True
FYN,autoinhibited,262,0.1257155686508691,80,125,45,0.16312056550695533,17.103211258307574,False,0.8291189598781092,1.8848858246841798,True
LCK,autoinhibited,288,0.21967520876355795,80,124,44,0.24086076176056306,15.100754335041643,False,0.9666955544147833,1.127374507038391,True
PTPN6,autoinhibited,504,0.19087604970515387,80,124,44,0.38665489180765983,17.72713852760017,False,0.9524929429197243,1.8111889697838717,True
EGFR,autoinhibited,311,0.8592094041185209,80,109,29,0.8614742014941175,3.901468333051703,True,0.9167990002975113,1.8976169345521823,True
PTK2,autoinhibited,611,0.7091546881988571,80,113,33,0.7099622885874758,4.6881209970877,True,0.8777529076199928,2.32358652923829,True
STAT3,autoinhibited,558,0.9888046954259733,80,106,26,0.9890704916478539,0.8434242249090607,True,0.9890704916478539,0.8434242249090607,True
CBS,autoinhibited,498,0.36942673105834745,80,120,40,0.48063734899698213,11.329534052177523,False,0.940430014844231,2.057790159238728,True
WAS,autoinhibited,107,0.05269521523625162,80,128,48,0.05284069066957727,15.10968619488374,False,0.7107265955521661,1.8927533813196955,True
BRAF,autoinhibited,289,0.3227399810819206,80,121,41,0.33446071582040254,12.803079577139902,False,0.8979921758763513,2.027178670756261,True
JAK1,autoinhibited,281,0.156932288102506,80,125,45,0.15974352657006471,19.184074959118814,False,0.9312078996854294,1.6346819011638276,True
KIT,autoinhibited,297,0.8527414033023324,80,110,30,0.8572970398025876,5.420956721815866,True,0.9903188822202017,0.6210761508014597,True
FGFR1,autoinhibited,197,0.09909899334365285,80,126,46,0.12803028750192133,19.557076458642072,False,0.8912711773535151,1.8773682106775675,True
AK1,autoinhibited,214,0.5647823511451634,80,116,36,0.5844902039344312,6.766109460283879,True,0.9548570731305763,1.1945248412162548,True
PAK1,autoinhibited,70,0.08647611889200611,80,126,46,0.11627923546628804,10.884181138620379,False,0.8699432483811237,1.1644744207574422,True
CSK,autoinhibited,246,0.08779409823364609,80,126,46,0.09106052916737796,16.587292909546598,False,0.907901026090435,1.2578242590447626,True
ABL2,autoinhibited,394,0.07305765773713285,80,126,46,0.07341141269749647,21.595465328992347,False,0.7980281496015125,2.595444966212957,True
LYN,autoinhibited,125,0.11877984152664306,80,125,45,0.15922134185218142,14.688883195166092,False,0.8441949226479005,1.8471966526595578,True
YES1,autoinhibited,171,0.10648948598464414,80,125,45,0.13246453423590043,13.665209629033434,False,0.9174004126617376,1.163282274167839,True
ITK,autoinhibited,245,0.11436214020870929,80,125,45,0.14615675650620785,18.428302467082833,False,0.9203063796027433,1.7409782045129043,True
ZAP70,autoinhibited,310,0.09165805159893796,80,126,46,0.10821575005271908,21.670982237883667,False,0.8676667683096747,2.1753488607518716,True
BTK,autoinhibited,268,0.10227519652216738,80,126,46,0.12257202151655294,16.938254152970003,False,0.9473738191735573,1.1200078111910339,True
KAI_B,foldswitch,106,0.09449630725966666,60,94,34,0.12131460321780357,14.300118613287937,False,0.9358846577864359,1.0057175785963244,True
XCL1,foldswitch,93,0.1367233513826189,60,93,33,0.16198864386742381,10.370456028477635,False,0.7569722308941433,1.854097117412905,True
RFAH,foldswitch,141,0.056294097368406744,60,94,34,0.05651477880282679,11.893013227040653,False,0.6855211898009776,1.7235161180110878,True
MAD2,foldswitch,187,0.31698759977102275,60,90,30,0.3224442579090442,11.102498396228073,False,0.9026400201449317,1.7291563281099855,True
